treated,nondiscrim_law_t3,therm_trans_t2,therm_obama_t1,gender_norm_moral_t1,nondiscrim_law_t0,therm_trans_t0,therm_obama_t0,gender_norm_moral_t0,ideology_t0,religious_t0,exposure_trans_t0,pid_t0,vf_democrat,vf_female,vf_hispanic,vf_black,vf_age,nondiscrim_law_diff
0,1,0,71,-2,0.5,0,83,-2,2,0,0,0,1,0,0,1,29,0.5
1,3,2,100,-0,0,1,100,-0,3,2,0,3,1,1,0,1,35,3
0,NA,NA,NA,NA,-1,1,100,-0,0,1,0,1,0,1,0,1,72,NA
1,0,1,100,-0,-1.5,1,100,-0,2,0,1,1,1,1,0,1,63,1.5
0,1,1,0,-1,2,0,0,-0,0,3,1,0,0,1,0,0,51,-1
0,1,1,74,-0,1,2,75,-0,0,2,0,3,1,1,0,1,26,0
1,2.5,NA,100,1,3,2,100,1,-2,2,0,3,1,1,0,1,62,-0.5
1,NA,NA,100,-0,2,1,100,-1,-1,2,0,3,1,0,0,1,20,NA
1,NA,NA,NA,NA,3,2,100,1,2,1,1,3,1,1,0,1,51,NA
1,NA,NA,NA,NA,1.5,0,100,-2,0,4,0,3,1,0,0,1,72,NA
0,0,NA,NA,NA,0,1,0,-0,0,0,0,-3,0,0,0,0,37,0
0,-3,1,23,1,-3,1,7,1,-3,5,0,-2,0,1,0,0,51,0
1,3,2,50,2,3,2,95,2,3,2,1,3,0,1,0,0,53,0
1,2,2,94,1,2.5,2,88,-0,2,3,1,3,1,1,1,0,66,-0.5
0,1,0,100,-0,0,0,100,-0,0,1,0,2,1,1,0,1,64,1
0,1,2,50,-0,3,2,83,-0,1,0,0,3,1,1,0,0,57,-2
0,NA,NA,NA,NA,1.5,1,80,1,1,1,1,2,1,1,0,1,39,NA
0,2.5,1,50,1,2.5,1,9,-1,0,0,0,-1,0,0,1,0,61,0
1,NA,NA,50,-0,0.5,1,28,-0,-1,5,0,3,1,1,1,0,82,NA
0,NA,NA,NA,NA,1.5,1,50,-0,0,4,0,2,1,0,0,1,75,NA
1,2,2,90,1,2,1,91,1,0,2,0,2,1,1,0,1,50,0
0,2.5,1,100,-0,2.5,1,100,-1,0,5,0,2,1,1,0,1,58,0
1,3,2,60,2,3,2,74,2,-1,5,0,-2,0,1,0,0,68,0
1,NA,NA,NA,NA,0,0,75,-1,0,3,0,3,0,1,0,1,63,NA
0,NA,NA,NA,NA,1,2,89,1,0,3,0,3,1,1,0,1,19,NA
1,0,0,81,-2,-2,0,100,-1,0,1,0,0,0,1,0,1,28,2
0,1.5,1,50,1,2.5,1,50,1,2,0,1,3,1,1,0,1,58,-1
0,3,1,50,1,3,1,50,2,0,0,1,0,0,0,0,1,22,0
0,0,1,50,-0,2.5,2,100,1,0,0,1,2,1,0,1,0,40,-2.5
0,2,1,50,-0,3,1,50,-0,0,0,1,2,1,1,0,1,25,-1
1,2,NA,50,-0,0.5,2,100,1,3,0,0,3,1,1,0,1,23,1.5
0,0,NA,100,-0,2,1,100,1,0,2,1,3,1,1,0,1,41,-2
1,NA,NA,NA,NA,-1.5,0,50,-2,0,1,0,0,0,0,1,0,58,NA
1,1,0,66,-2,0,0,59,-2,1,0,0,1,0,1,0,0,58,1
1,-0.5,2,96,-0,1.5,2,100,2,0,1,0,-2,1,1,0,1,31,-2
1,0,1,97,-1,0.5,2,100,-1,1,4,0,3,1,0,0,1,65,-0.5
1,2,2,100,1,1.5,2,100,-0,2,0,1,3,1,1,0,0,55,0.5
1,0,2,50,-2,-0.5,1,69,2,0,5,0,3,0,1,0,1,48,0.5
1,1.5,2,50,-2,2.5,0,100,-2,0,5,0,3,1,1,0,1,81,-1
0,0,1,50,-2,0,1,50,-0,0,0,0,0,0,0,1,0,19,0
0,0.5,1,NA,NA,0.5,0,4,-1,0,1,0,-3,0,1,0,0,85,0
